autocoe_actionname,autocoe_desktopflowactionid,autocoe_dlpsupport,importsequencenumber,autocoe_moduledisplayname,autocoe_modulename,autocoe_modulesource,autocoe_selectorid,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit
Sort list,7f65a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Variables,Variables,Microsoft,Variables.SortList.SortListByProperty,Active,Active,,,4090151,40e6dccd-3039-ec11-b6e5-00224805ed01
Sort list,0d4304e7-e2ce-ec11-a7b5-002248040e15,false,,Variables,Variables,Microsoft,Variables.SortList.SortList,Active,Active,,,4090150,40e6dccd-3039-ec11-b6e5-00224805ed01
Remove duplicate items from list,104304e7-e2ce-ec11-a7b5-002248040e15,false,,Variables,Variables,Microsoft,Variables.RemoveDuplicateItemsFromList,Active,Active,,,4090148,40e6dccd-3039-ec11-b6e5-00224805ed01
Shuffle list,7d65a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Variables,Variables,Microsoft,Variables.ShuffleList,Active,Active,,,4090147,40e6dccd-3039-ec11-b6e5-00224805ed01
Reverse list,7e65a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Variables,Variables,Microsoft,Variables.ReverseList,Active,Active,,,4090146,40e6dccd-3039-ec11-b6e5-00224805ed01
Merge lists,7c65a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Variables,Variables,Microsoft,Variables.MergeLists,Active,Active,,,4090145,40e6dccd-3039-ec11-b6e5-00224805ed01
Find common list items,0e4304e7-e2ce-ec11-a7b5-002248040e15,false,,Variables,Variables,Microsoft,Variables.FindCommonListItems,Active,Active,,,4090144,40e6dccd-3039-ec11-b6e5-00224805ed01
Remove item from list,0f4304e7-e2ce-ec11-a7b5-002248040e15,false,,Variables,Variables,Microsoft,Variables.RemoveItemFromList.RemoveItemFromListByValue,Active,Active,,,4090143,40e6dccd-3039-ec11-b6e5-00224805ed01
Truncate number,7065a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Variables,Variables,Microsoft,Variables.TruncateNumber.GetIntegerPart,Active,Active,,,4090140,40e6dccd-3039-ec11-b6e5-00224805ed01
Clear list,6e65a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Variables,Variables,Microsoft,Variables.ClearList,Active,Active,,,4090139,40e6dccd-3039-ec11-b6e5-00224805ed01
Truncate number,6f65a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Variables,Variables,Microsoft,Variables.TruncateNumber.GetDecimalPart,Active,Active,,,4090138,40e6dccd-3039-ec11-b6e5-00224805ed01
Truncate number,6c65a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Variables,Variables,Microsoft,Variables.TruncateNumber.RoundNumber,Active,Active,,,4090137,40e6dccd-3039-ec11-b6e5-00224805ed01
Generate random number,6965a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Variables,Variables,Microsoft,Variables.GenerateRandomNumber.RandomNumber,Active,Active,,,4090136,40e6dccd-3039-ec11-b6e5-00224805ed01
Generate random number,6b65a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Variables,Variables,Microsoft,Variables.GenerateRandomNumber.ListOfRandomNumbers,Active,Active,,,4090135,40e6dccd-3039-ec11-b6e5-00224805ed01
Take screenshot of UI element,6a65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.TakeScreenshotOfUIElement.TakeScreenshotOfUIElementAndSaveToFile,Active,Active,,,4090134,40e6dccd-3039-ec11-b6e5-00224805ed01
Remove item from list,0c4304e7-e2ce-ec11-a7b5-002248040e15,false,,Variables,Variables,Microsoft,Variables.RemoveItemFromList.RemoveItemFromListByIndex,Active,Active,,,4090132,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract data from window,0a4304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.ExtractDataFromWindow.ExtractData,Active,Active,,,4090130,40e6dccd-3039-ec11-b6e5-00224805ed01
Get selected radio button in window,0b4304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.GetSelectedRadiobuttonInWindow.GetSelectedRadiobutton,Active,Active,,,4090129,40e6dccd-3039-ec11-b6e5-00224805ed01
Take screenshot of UI element,6265a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.TakeScreenshotOfUIElement.TakeScreenshotOfUIElement,Active,Active,,,4090128,40e6dccd-3039-ec11-b6e5-00224805ed01
Get selected radio button in window,094304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.GetSelectedRadiobuttonInWindow.GetRadioButtonState,Active,Active,,,4090126,40e6dccd-3039-ec11-b6e5-00224805ed01
Get selected checkboxes in window,074304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.GetSelectedCheckboxesInWindow.GetSelectedCheckboxes,Active,Active,,,4090125,40e6dccd-3039-ec11-b6e5-00224805ed01
Extract data from window,084304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.ExtractDataFromWindow.ExtractDataInExcelSpreadsheet,Active,Active,,,4090124,40e6dccd-3039-ec11-b6e5-00224805ed01
Get details of the UI element in window,5e65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.GetElementDetails,Active,Active,,,4090123,40e6dccd-3039-ec11-b6e5-00224805ed01
Get selected checkboxes in window,5f65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.GetSelectedCheckboxesInWindow.GetCheckboxState,Active,Active,,,4090122,40e6dccd-3039-ec11-b6e5-00224805ed01
Select radio button in window,5765a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SelectRadioButton,Active,Active,,,4090119,40e6dccd-3039-ec11-b6e5-00224805ed01
Set checkbox state in window,5565a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SetCheckboxState,Active,Active,,,4090118,40e6dccd-3039-ec11-b6e5-00224805ed01
Populate text field in window,4f65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.PopulateTextField,Active,Active,,,4090116,40e6dccd-3039-ec11-b6e5-00224805ed01
Get details of window,4e65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.GetWindowDetails,Active,Active,,,4090115,40e6dccd-3039-ec11-b6e5-00224805ed01
Set drop-down list value in window,054304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SetDropDownListValueInWindow.SetDropDownListValueByIndex,Active,Active,,,4090114,40e6dccd-3039-ec11-b6e5-00224805ed01
Set drop-down list value in window,064304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SetDropDownListValueInWindow.ClearDropDownListValue,Active,Active,,,4090113,40e6dccd-3039-ec11-b6e5-00224805ed01
Press button in window,4c65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.PressButton,Active,Active,,,4090111,40e6dccd-3039-ec11-b6e5-00224805ed01
Set drop-down list value in window,4d65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SetDropDownListValueInWindow.SetDropDownListValueByName,Active,Active,,,4090110,40e6dccd-3039-ec11-b6e5-00224805ed01
Resize window,044304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.ResizeWindow.Resize,Active,Active,,,4090106,40e6dccd-3039-ec11-b6e5-00224805ed01
Focus text field in window,034304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.FocusTextField,Active,Active,,,4090104,40e6dccd-3039-ec11-b6e5-00224805ed01
Resize window,4465a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.ResizeWindow.ResizeByTitleClass,Active,Active,,,4090103,40e6dccd-3039-ec11-b6e5-00224805ed01
Close window,4365a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.CloseWindow.CloseByInstanceOrHandle,Active,Active,,,4090102,40e6dccd-3039-ec11-b6e5-00224805ed01
Close window,024304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.CloseWindow.CloseByTitleClass,Active,Active,,,4090101,40e6dccd-3039-ec11-b6e5-00224805ed01
Resize window,014304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.ResizeWindow.ResizeByInstanceOrHandle,Active,Active,,,4090100,40e6dccd-3039-ec11-b6e5-00224805ed01
Move window,4165a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.MoveWindow.MoveByTitleClass,Active,Active,,,4090099,40e6dccd-3039-ec11-b6e5-00224805ed01
Close window,4265a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.CloseWindow.Close,Active,Active,,,4090098,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,4065a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToLoseFocusByInstanceOrHandle,Active,Active,,,4090096,40e6dccd-3039-ec11-b6e5-00224805ed01
Move window,ff4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.MoveWindow.MoveByInstanceOrHandle,Active,Active,,,4090094,40e6dccd-3039-ec11-b6e5-00224805ed01
Set window visibility,fe4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SetWindowVisibility.SetVisibility,Active,Active,,,4090093,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,004304e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToLoseFocusByTitleClass,Active,Active,,,4090092,40e6dccd-3039-ec11-b6e5-00224805ed01
Move window,3e65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.MoveWindow.Move,Active,Active,,,4090091,40e6dccd-3039-ec11-b6e5-00224805ed01
Set window visibility,3d65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SetWindowVisibility.SetVisibilityByTitleClass,Active,Active,,,4090090,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,3c65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToLoseFocus,Active,Active,,,4090089,40e6dccd-3039-ec11-b6e5-00224805ed01
Set window visibility,3f65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SetWindowVisibility.SetVisibilityByInstanceOrHandle,Active,Active,,,4090088,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,2f65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToClose,Active,Active,,,4090081,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,2a65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToOpenByTitleClass,Active,Active,,,4090079,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,2965a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToOpenByInstanceOrHandle,Active,Active,,,4090078,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,fb4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToBecomeFocusedByTitleClass,Active,Active,,,4090077,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,2865a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToCloseByInstanceOrHandle,Active,Active,,,4090076,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,fc4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToBecomeFocused,Active,Active,,,4090075,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,fd4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToCloseByTitleClass,Active,Active,,,4090074,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,2b65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToBecomeFocusedByInstanceOrHandle,Active,Active,,,4090073,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window,2165a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindow.ToOpen,Active,Active,,,4090071,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,1f65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsNotFocusedByTitleClass,Active,Active,,,4090069,40e6dccd-3039-ec11-b6e5-00224805ed01
Set window state,1e65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SetWindowState.SetStateByInstanceOrHandle,Active,Active,,,4090068,40e6dccd-3039-ec11-b6e5-00224805ed01
Set window state,1d65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SetWindowState.SetStateByTitleClass,Active,Active,,,4090067,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,fa4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsNotFocusedByInstanceOrHandle,Active,Active,,,4090066,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,f84204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsNotFocused,Active,Active,,,4090065,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,f94204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsFocusedByTitleClass,Active,Active,,,4090064,40e6dccd-3039-ec11-b6e5-00224805ed01
Set window state,1c65a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SetWindowState.SetState,Active,Active,,,4090062,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,1665a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsNotOpenByInstanceOrHandle,Active,Active,,,4090060,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,1565a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsFocused,Active,Active,,,4090058,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,1465a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsFocusedByInstanceOrHandle,Active,Active,,,4090057,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,1265a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsNotOpenByTitleClass,Active,Active,,,4090056,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,1165a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsOpen,Active,Active,,,4090055,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,f54204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsOpenByTitleClass,Active,Active,,,4090054,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,f64204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsOpenByInstanceOrHandle,Active,Active,,,4090053,40e6dccd-3039-ec11-b6e5-00224805ed01
If window,f74204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindow.IsNotOpen,Active,Active,,,4090052,40e6dccd-3039-ec11-b6e5-00224805ed01
Focus window,0965a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.FocusWindow.Focus,Active,Active,,,4090049,40e6dccd-3039-ec11-b6e5-00224805ed01
Get window,f34204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.GetWindow.GetForegroundWindow,Active,Active,,,4090046,40e6dccd-3039-ec11-b6e5-00224805ed01
Get window,f44204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.GetWindow.Get,Active,Active,,,4090045,40e6dccd-3039-ec11-b6e5-00224805ed01
Focus window,0765a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.FocusWindow.FocusByTitleClass,Active,Active,,,4090044,40e6dccd-3039-ec11-b6e5-00224805ed01
Drag and drop UI element in window,0665a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.DragAndDropElement,Active,Active,,,4090043,40e6dccd-3039-ec11-b6e5-00224805ed01
Expand/collapse tree node in window,f24204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.ExpandCollapseTreeNode,Active,Active,,,4090042,40e6dccd-3039-ec11-b6e5-00224805ed01
Focus window,0865a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.FocusWindow.FocusByInstanceOrHandle,Active,Active,,,4090041,40e6dccd-3039-ec11-b6e5-00224805ed01
Get window,0565a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.GetWindow.GetUseTimeout,Active,Active,,,4090040,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for image,fa64a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForImage.ToDisappearFromSubregionOfScreen,Active,Active,,,4090038,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for image,f964a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForImage.ToDisappearFromSubregionOfForegroundWindow,Active,Active,,,4090036,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for image,f864a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForImage.ToDisappearFromScreen,Active,Active,,,4090033,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for image,ef4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForImage.ToDisappearFromForegroundWindow,Active,Active,,,4090032,40e6dccd-3039-ec11-b6e5-00224805ed01
Select menu option in window,f04204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SelectMenuOption,Active,Active,,,4090031,40e6dccd-3039-ec11-b6e5-00224805ed01
Click UI element in window,f664a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.Click,Active,Active,,,4090030,40e6dccd-3039-ec11-b6e5-00224805ed01
Hover mouse over UI element in window,f764a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.HoverOnElement,Active,Active,,,4090029,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for image,f564a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForImage.ToAppearOnSubregionOfForegroundWindow,Active,Active,,,4090028,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for image,f264a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForImage.ToAppearOnSubregionOfScreen,Active,Active,,,4090025,40e6dccd-3039-ec11-b6e5-00224805ed01
Use desktop,f164a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.UseDesktop,Active,Active,,,4090024,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for image,ed64a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForImage.ToAppearOnScreen,Active,Active,,,4090023,40e6dccd-3039-ec11-b6e5-00224805ed01
If image,ec4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfImage.DoesNotExistOnSubregionOfForeground,Active,Active,,,4090022,40e6dccd-3039-ec11-b6e5-00224805ed01
Select tab in window,ed4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.SelectTab,Active,Active,,,4090021,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for image,ee4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForImage.ToAppearOnForegroundWindow,Active,Active,,,4090020,40e6dccd-3039-ec11-b6e5-00224805ed01
If image,f064a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfImage.DoesNotExistOnForeground,Active,Active,,,4090019,40e6dccd-3039-ec11-b6e5-00224805ed01
If image,ee64a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfImage.DoesNotExistOnSubregionOfScreen,Active,Active,,,4090018,40e6dccd-3039-ec11-b6e5-00224805ed01
If image,e564a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfImage.ExistsOnSubregionOfScreen,Active,Active,,,4090017,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window content,e464a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindowContent.WindowToNotContainText,Active,Active,,,4090016,40e6dccd-3039-ec11-b6e5-00224805ed01
If image,e94204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfImage.ExistsOnScreen,Active,Active,,,4090015,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window content,e364a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindowContent.WindowToContainText,Active,Active,,,4090014,40e6dccd-3039-ec11-b6e5-00224805ed01
If image,e264a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfImage.DoesNotExistOnScreen,Active,Active,,,4090013,40e6dccd-3039-ec11-b6e5-00224805ed01
If image,e164a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfImage.ExistsOnForeground,Active,Active,,,4090012,40e6dccd-3039-ec11-b6e5-00224805ed01
If image,eb4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfImage.ExistsOnSubregionOfForeground,Active,Active,,,4090011,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window content,ea4204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindowContent.WindowToNotContainElement,Active,Active,,,4090010,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window content,db64a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindowContent.WindowToContainElement,Active,Active,,,4090007,40e6dccd-3039-ec11-b6e5-00224805ed01
If window contains,dc64a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindowContains.WindowContainsElement,Active,Active,,,4090006,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait for window content,dd64a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.WaitForWindowContent.WindowToContainElementInState,Active,Active,,,4090005,40e6dccd-3039-ec11-b6e5-00224805ed01
If window contains,e84204e7-e2ce-ec11-a7b5-002248040e15,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindowContains.WindowDoesNotContainText,Active,Active,,,4090004,40e6dccd-3039-ec11-b6e5-00224805ed01
Recognize entities in text,d664a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Text,Text,Microsoft,Text.RecognizeEntitiesInText,Active,Active,,,4090003,40e6dccd-3039-ec11-b6e5-00224805ed01
If window contains,d764a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindowContains.WindowDoesNotContainElement,Active,Active,,,4090002,40e6dccd-3039-ec11-b6e5-00224805ed01
If window contains,d564a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindowContains.WindowContainsText,Active,Active,,,4090001,40e6dccd-3039-ec11-b6e5-00224805ed01
If window contains,d464a7e7-e2ce-ec11-a7b5-00224804cf74,true,,UI automation,UIAutomation,Microsoft,UIAutomation.IfWindowContains.WindowContainsElementInState,Active,Active,,,4090000,40e6dccd-3039-ec11-b6e5-00224805ed01
Parse text,e74204e7-e2ce-ec11-a7b5-002248040e15,false,,Text,Text,Microsoft,Text.ParseText.ParseForFirstOccurrence,Active,Active,,,4089995,40e6dccd-3039-ec11-b6e5-00224805ed01
Parse text,e64204e7-e2ce-ec11-a7b5-002248040e15,false,,Text,Text,Microsoft,Text.ParseText.RegexParse,Active,Active,,,4089994,40e6dccd-3039-ec11-b6e5-00224805ed01
Parse text,e54204e7-e2ce-ec11-a7b5-002248040e15,false,,Text,Text,Microsoft,Text.ParseText.Parse,Active,Active,,,4089993,40e6dccd-3039-ec11-b6e5-00224805ed01
Escape text for regular expression,e44204e7-e2ce-ec11-a7b5-002248040e15,false,,Text,Text,Microsoft,Text.EscapeForRegularExpression,Active,Active,,,4089991,40e6dccd-3039-ec11-b6e5-00224805ed01
Split text,e34204e7-e2ce-ec11-a7b5-002248040e15,false,,Text,Text,Microsoft,Text.SplitText.SplitAtNumberOfCharacters,Active,Active,,,4089990,40e6dccd-3039-ec11-b6e5-00224805ed01
Replace text,c264a7e7-e2ce-ec11-a7b5-00224804cf74,false,,Text,Text,Microsoft,Text.Replace,Active,Active,,,4089989,40e6dccd-3039-ec11-b6e5-00224805ed01
Parse text,e24204e7-e2ce-ec11-a7b5-002248040e15,false,,Text,Text,Microsoft,Text.ParseText.RegexParseForFirstOccurrence,Active,Active,,,4089988,40e6dccd-3039-ec11-b6e5-00224805ed01
